                  0(0),       2(1),      1(2),     3(3),      4(4),      6(5),      7(6),     8(7),     10(8),      11(9),     9(10),     5(11),    12(12),   15(13),    16(14),     18(15),   19(16),    20(17),    22(18),    23(19),    24(20),    21(21),    14(22),    32(23),    33(24),    17(25),    30(26),    31(27),    13(28),    25(29),     26(30),    27(31),    28(32),    29(33),
                     ,          a,         n,       ssa,       sta,       lla,       lta,      lle,       ksi,        tta,        na,         n,         t,     issa,      ista,       illa,     ilta,      ille,      iksi,      itta,        in,       ina,         a,        ja,       ita,        in,        in,      ihin,        en,        en,       iden,     itten,        in,       ten,
                  ilo,       iloa,      ilon,    ilossa,    ilosta,    ilolla,    ilolta,   ilolle,    iloksi,     ilotta,     ilona,     iloon,      ilot,  iloissa,   iloista,    iloilla,  iloilta,   iloille,   iloiksi,   iloitta,     iloin,    iloina,     omenia ,     iloja,  omenoita,   omeniin,     uniin,   iloihin,    ilojen,    ilojen,  omenoiden,omenoitten,  ulappain,     unten,
               NNomSg,     NParSg,    NGenSg,    NIneSg,    NElaSg,    NAdeSg,    NAblSg,   NAllSg,    NTraSg,     NAbeSg,    NEssSg,    NIllSg,    NNomPl,   NInePl,    NElaPl,     NAdePl,   NAblPl,    NAllPl,    NTraPl,    NAbePl,    NInsPl,    NEssPl,    NParPl,    NParPl,    NParPl,    NIllPl,    NIllPl,    NIllPl,    NGenPl,    NGenPl,     NGenPl,    NGenPl,    NGenPl,    NGenPl,
22   buffet,          ,        't,          ,          ,          ,          ,          ,          ,          ,          ,         ',      'h,          ,          ,          ,          ,          ,          ,          ,          ,          ,         ',         ',          ,         !,         ',         !,         e,         ',         i,         !,         !,         !,         !,
23     lohi,          ,        t-,        e-,        e-,        e-,        e-,        e-,        e-,        e-,        e-,        e-,       ee-,        e-,         -,         -,         -,         -,         -,         -,         -,         -,         -,          ,         !,         !,          ,         !,         !,          ,         !,         !,         !,         !,         !,
24      uni,          ,        t-,        e-,        e-,        e-,        e-,        e-,        e-,        e-,        e-,        e-,       ee-,        e-,         -,         -,         -,         -,         -,         -,         -,         -,         -,          ,         !,         !,          ,         !,         !,          ,         !,         !,         !,         !,         -,
25    liemi,        mi,        nt,        me,        me,        me,        me,        me,        me,        me,        me,        me,       mee,        me,         m,         m,         m,         m,         m,         m,         m,         m,         m,        mi,         !,         !,        mi,         !,         !,        mi,         !,         !,         !,         !,         n,
26     veri,          ,        t-,        e-,        e-,        e-,        e-,        e-,        e-,        e-,        e-,        e-,       ee-,        e-,         -,         -,         -,         -,         -,         -,         -,         -,         -,          ,         !,         !,          ,         !,         -,          ,         !,         !,         !,         !,         -,
27     mesi,        si,        tt,        de,        de,        de,        de,        de,        de,        de,        de,        te,       tee,        de,         s,         s,         s,         s,         s,         s,         s,         s,         s,        si,         !,         !,        si,         !,         s,        si,         !,         !,         !,         !,         t,
28    kansi,        si,        tt,        e+,        e+,        e+,        e+,        e+,        e+,        e+,        e+,        te,       tee,        e+,         s,         s,         s,         s,         s,         s,         s,         s,         s,        si,         !,         !,        si,         !,         !,        si,         !,         !,         !,         !,         t,
29    lapsi,       psi,        st,       pse,       pse,       pse,       pse,       pse,       pse,       pse,       pse,       pse,      psee,       pse,        ps,        ps,        ps,        ps,        ps,        ps,        ps,        ps,        ps,       psi,         !,         !,       psi,         !,        ps,       psi,         !,         !,         !,         !,         s,
30   peitsi,       tsi,        st,       tse,       tse,       tse,       tse,       tse,       tse,       tse,       tse,       tse,      tsee,       tse,        ts,        ts,        ts,        ts,        ts,        ts,        ts,        ts,        ts,       tsi,         !,         !,       tsi,         !,        ts,       tsi,         !,         !,         !,         !,         s,
31     yksi,       ksi,        ht,       hde,       hde,       hde,       hde,       hde,       hde,       hde,       hde,       hte,      htee,       hde,        ks,        ks,        ks,        ks,        ks,        ks,        ks,        ks,        ks,       ksi,         !,         !,       ksi,         !,         !,       ksi,         !,         !,         !,         !,         !,
32    tytär,          ,         t,         e,         e,         e,         e,         e,         e,         e,         e,         e,        ee,         e,          ,          ,          ,          ,          ,          ,          ,          ,          ,         i,         !,         !,         i,         !,          ,         i,         !,         !,         !,         !,          ,
33   asetin,         n,        nt,        me,        me,        me,        me,        me,        me,        me,        me,        me,       mee,        me,         m,         m,         m,         m,         m,         m,         m,         m,         m,        mi,         !,         !,        mi,         !,         !,        mi,         !,         !,         !,         !,         n,
